genome	tax	AMO	hao	NXR	NAP	NAR	NAS	NIR	ccNIR	ppk1	ppk2	ppx	Ni_MP_aver	Cd_MP_aver	Cr_O_aver	Ni_O_aver	Cd_O_aver	Cr_LP_aver	Ni_LP_aver	Cd_LP_aver	Cd_HP_aver	Ni_HP_aver	Cr_MP_aver	Cr_HP_aver	CK	LDAgroup	LDA_socre	pvalue
MAG-108	p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA2402;s__sp002343715									Yes	Yes		0.083548	0.112978	61.619354	96.059966	34.473777	0.109776	10.727845	5.78517	0.07588	0.038617	0.172349	0.081829	0.439384			-
MAG-109	p__Planctomycetes;c__UBA1135;o__UBA1135;f__;g__;s__		Yes	Yes						Yes	Yes		5.534947	117.940641	38.168434	12.433367	21.303977	0.036341	1.327805	54.29601	0.182396	0.093215	0.080481	0.022582	173.927042	Cd	4.13826934	0.040990956
MAG-11	p__Bacteroidetes;c__Kapabacteria;o__OLB7;f__OLB7;g__OLB7;s__							Yes	Yes	Yes			0.011706	0.118081	6.406195	2.122827	5.909638	17.13266	0.016794	6.257511	0	0	32.842289	1.678928	1.851972			-
MAG-110	p__Acidobacteria;c__Blastocatellia;o__Pyrinomonadales;f__;g__;s__			Yes					Yes	Yes	Yes		9.028349	8.440258	8.839074	2.832991	5.873799	2.332077	2.654861	9.076476	0.312516	0.495897	1.822515	0	7.389387			-
MAG-111	p__Proteobacteria;c__Alphaproteobacteria;o__Caedimonadales;f__Caedimonadaceae;g__Caedimonas;s__									Yes			0.245023	0.005731	3.407788	160.535563	120.440086	0.009959	0.027638	0.168607	0	0.069488	0.010736	0	0			-
MAG-112	p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Ga0077523;g__;s__		Yes			Yes	Yes	Yes		Yes	Yes	Yes	12.982068	17.054897	17.67725	9.4409725	18.080696	121.726219	9.237986	14.99758	6.499137	7.737875	147.741103	23.955273	7.940601			-
MAG-113	p__Verrucomicrobia;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__UBA6669;s__						Yes	Yes	Yes	Yes	Yes		0.959792	0.228588	2.089867	3.284945	2.113676	35.764434	1.993945	1.364382	0.098636	0.203604	22.252609	4.986795	3.148994	Cr	3.374249619	0.005371498
MAG-114	p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__									Yes	Yes	Yes	8.579159	1.001237	1.987013	2.832829	1.395554	3.137941	7.998948	1.251673	0.415316	4.090796	2.177812	1.365808	0.597129	Ni	3.163601351	0.017766843
MAG-115	p__Bacteroidetes;c__Bacteroidia;o__AKYH767;f__b-17BO;g__UBA2475;s__									Yes			21.164504	0.144087	5.075522	3.909792	1.242815	0.036426	21.184291	5.996617	0.08437	5.285593	0.057009	0.139162	6.798473	Ni	3.453399549	0.008655986
MAG-116	p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA1573;s__											Yes	0.008537	0.005263	0.038297	0.040829	0.034737	0.056554	0.00577	0.013188	0.006391	0.006962	0.01931	0	0.212844			-
