Genome	Cd_O	Ni_O	Cr_O	Cd_L_1	Cd_L_2	Cd_L_3	Cd_M_1	Cd_M_2	Cd_M_3	Cd_H_1	Cd_H_2	Cd_H_3	Ni_L_1	Ni_L_2	Ni_L_3	Ni_M_1	Ni_M_2	Ni_M_3	Ni_H_1	Ni_H_2	Ni_H_3	Cr_L_1	Cr_L_2	Cr_L_3	Cr_M_1	Cr_M_2	Cr_M_3	Cr_H_1	Cr_H_2	Cr_H_3	CK_1	CK_2	CK_3
Metal	None	None	None	Cd	Cd	Cd	Cd	Cd	Cd	Cd	Cd	Cd	Ni	Ni	Ni	Ni	Ni	Ni	Ni	Ni	Ni	Cr	Cr	Cr	Cr	Cr	Cr	Cr	Cr	Cr	None	None	None
Pressure	None	None	None	Low	Low	Low	Medium	Medium	Medium	High	High	High	Low	Low	Low	Medium	Medium	Medium	High	High	High	Low	Low	Low	Medium	Medium	Medium	High	High	High	None	None	None
MAG-388	23.556478	9.647593	27.444197	44.698834	47.691442	49.287544	186.162754	193.242384	202.006537	142.324999	148.70433	154.299276	3.325758	3.440273	3.530848	17.140087	20.470233	20.856896	1.733487	1.964991	1.775433	80.590834	66.625907	62.973689	33.641334	35.750786	35.102208	5.889926	5.089879	4.952145	30.597548	27.39601	7.994145
MAG-389	0.52849	0.568609	0.391083	0.76678	0.889785	1.020641	0.989739	0.976429	1.057316	0.029598	0.036095	0.033901	0.312009	0.266168	0.284516	1.402965	1.686146	1.798175	0.019466	0.027566	0.022163	0.071358	0.082193	0.07222	0.072037	0.085061	0.058954	0.041463	0.033753	0.02887	1.080529	3.063573	11.505065
MAG-390	0.013027	0.013656	0.010346	0.007964	0.00879	0.00711	0.007491	0.006299	0.005416	0.009643	0.00861	0.011632	0.009204	0.009039	0.006549	0.004964	0.005294	0.011442	63.481577	66.146459	55.985669	0.005745	0.011725	0.004666	0.010637	0.009905	0.009285	0.049878	0.031487	0.023352	0.020693	0.008495	0.007191
MAG-391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.768141	6.026335	5.354084	0	0	0	0	0	0	0	0	0	0	0	0
MAG-392	0.012809	0.009663	0.008265	0.008545	0.007676	0.007155	0.009267	0.017978	0.01339	0.013918	0.018064	0.014518	0.005583	0.006055	0.003062	0.010934	0.005261	0.00724	0.008568	0.003725	0.00618	5.333869	11.95697	11.648717	3.847036	3.574102	3.584785	9.942289	8.725905	7.965305	0.032576	0.012598	0.008346
MAG-393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227982	0.346564	0.329596	0.329388	0.175649	0.184502	7.378034	5.774547	5.431987	0	0	0
MAG-394	0.007339	0	0.006706	0.002907	0	0	0.007311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.625364	2.721916	2.647419	0.096879	0.079645	0.07183	0.017535	0.014081	0.012089	0	0.010786	0.002809
MAG-395	0.673803	0.215573	1.81641	0	0	0	0.559331	0.763385	0.793293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.923014	4.874789	2.820959
MAG-396	1.307979	3.910325	11.464591	0.016925	0.012857	0.012308	0	0	0	0	0	0	0.005903	0.004507	0	0.003374	0.007318	0	0.002854	0	0	0.039372	0.126693	0.124761	0.015607	0.006496	0.009767	0.004553	0	0	20.440599	1.06528	2.052404
MAG-397	0.036444	0.034367	0.074508	0.133002	0.114892	0.11323	0.185096	0.158712	0.179135	0.0495	0.048706	0.048208	0.103191	0.116234	0.104876	7.06855	4.388538	4.124689	0.625272	0.59986	0.522093	0	0	0	0	0	0	0	0	0	0.064849	0.21452	2.121392
MAG-398	3.480876	8.294552	1.261502	0.362634	0.359943	0.389857	0.552437	0.477608	0.49795	0.16878	0.149089	0.15074	1.957234	2.279603	2.520026	0.012747	0.00378	0.00925	0.006421	0	0	0	0	0	0	0	0	0	0	0	3.179853	2.115635	0.021758
MAG-399	0	0.059158	0.086764	0	0	0	0	0	0	0	0	0	4.6385935	5.263454	5.38665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG-400	1.172742	0.169655	3.791351	6.180711	6.756606	6.989976	1.22214	1.341675	1.442555	0.538996	0.564458	0.590119	0	0	0	0.157168	0.190642	0.18653	0.084885	0.086154	0.063622	0.024021	0.033455	0.030498	0.01361	0.007973	0.012903	0	0	0	0.750449	4.195538	0.86469
MAG-401	0.626407	1.880214	1.418487	0.200547	0.188741	0.189128	0.009794	0.011125	0.015404	0.004521	0.004928	0.005148	0	0	0	0	0	0	0	0	0	16.502525	9.129741	8.51142	3.651461	3.502047	3.436953	0.115483	0.087902	0.073276	2.797322	0.200495	0
MAG-402	0.019611	0.003546	0.018938	2.326338	2.393023	2.549715	2.201553	2.198535	2.324596	0.305074	0.254779	0.280704	10.406715	12.111093	12.847178	0.117763	0.106632	0.098897	0.023822	0.023975	0.024069	0	0	0	0	0	0	0	0	0	0.020429	0.57129	0.422603
MAG-403	14.018402	11.555077	9.32482	0.853935	0.981529	1.023753	0.0562	0.062606	0.057291	0.02955	0.021868	0.026896	0.062308	0.069453	0.076671	0.027972	0.035459	0.029928	0.008471	0.006137	0.007067	0.033387	0.058123	0.058072	0.017838	0.015052	0.010382	0.008283	0.00664	0.007277	26.858081	0.641875	0.129306
