"SUID","EnrichmentMap::Data Set","EnrichmentMap::Overlap_genes","EnrichmentMap::Overlap_size","EnrichmentMap::similarity_coefficient","interaction","name","selected","shared interaction","shared name"
"4057","Cd2CK_egg_go_ko","ABF52527.1|OJV55238.1|WP_101470658.1|RTL38629.1|KYP16158.1|WP_012206422.1|KXK27170.1|PZN51362.1|WP_127122345.1|WP_039137169.1|PZO50909.1|ODU07221.1|WP_133364638.1|WP_011286880.1|RTL37507.1|PZQ27409.1","16","0.9705882352941176","Geneset_Overlap","COG0811 (Geneset_Overlap_Cd2CK_egg_go_ko) K03561","false","Geneset_Overlap","COG0811 (Geneset_Overlap_Cd2CK_egg_go_ko) K03561"
"4058","Cd2CK_egg_go_ko","OGU52319.1|OJW50879.1|PKO33943.1|WP_108948782.1|WP_128902407.1|TAL74038.1|RZI44785.1|WP_017508866.1|WP_011765804.1|WP_056875887.1|WP_079435047.1|WP_092755324.1|WP_102041370.1|WP_109041252.1|WP_135247737.1","15","0.9411764705882353","Geneset_Overlap","2VI2M (Geneset_Overlap_Cd2CK_egg_go_ko) COG2766","false","Geneset_Overlap","2VI2M (Geneset_Overlap_Cd2CK_egg_go_ko) COG2766"
"4059","Cd2CK_egg_go_ko","WP_079433304.1|WP_002923543.1|WP_066882668.1|WP_054020873.1|RIX45053.1|WP_018411050.1|WP_009553533.1|WP_088177840.1|RTK98152.1|TEX44200.1|WP_011766701.1|WP_027457891.1|WP_019918667.1|WP_110399427.1|WP_119770394.1|PKO86510.1|WP_066336621.1|WP_056242747.1|RTL35821.1|WP_008060415.1|WP_119783747.1","21","0.647887323943662","Geneset_Overlap","GO:0005509 (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0052935","false","Geneset_Overlap","GO:0005509 (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0052935"
"4060","Cd2CK_egg_go_ko","EXI73901.1|WP_119964852.1|WP_133588295.1|WP_018151794.1|OGA45015.1|OIP10440.1|RMG33618.1|TDQ47100.1|ACF98171.1|WP_068491810.1|ODU56528.1|WP_137194094.1|WP_013029265.1|WP_108106829.1|WP_084721056.1|CAI06598.1|WP_004301737.1|EXI86426.1|EXI90076.1|AHZ56225.1|WP_027459187.1|KFB69436.1|WP_050417154.1|WP_056876288.1|WP_057674903.1|OHC61306.1|OHC64126.1|WP_076096509.1|WP_079435145.1|WP_086912295.1|PKO56461.1|WP_108977384.1|WP_116534872.1|WP_119107391.1|RIX44719.1|TAK48549.1|TEX48909.1","37","0.37714161787031014","Geneset_Overlap","1N3PN (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0009055","false","Geneset_Overlap","1N3PN (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0009055"
"4061","Cd2CK_egg_go_ko","WP_054965449.1|ODS71062.1|WP_012585584.1|OJY87033.1|OGV72118.1|RTL04036.1|WP_028994809.1|WP_056197883.1|ODS95854.1|WP_043820335.1|WP_124220621.1|WP_055423062.1|WP_010463004.1|WP_027457213.1|RTL46920.1|WP_090018893.1","16","0.6797385620915033","Geneset_Overlap","GO:0009325 (Geneset_Overlap_Cd2CK_egg_go_ko) K00370","false","Geneset_Overlap","GO:0009325 (Geneset_Overlap_Cd2CK_egg_go_ko) K00370"
"4062","Cd2CK_egg_go_ko","AAM18567.1|WP_054020873.1|WP_066882668.1|PKO86510.1|WP_110399427.1|RIX45053.1|WP_119783747.1|RTL35821.1|EGK69921.1|WP_002923543.1|WP_008060415.1|WP_018411050.1|WP_083567731.1|WP_114969704.1|WP_013215831.1|WP_119770394.1|WP_011766701.1|WP_019918667.1|OUV02704.1|WP_108414187.1|WP_056242747.1|RTK98152.1|PKP86951.1|WP_087656473.1|WP_009553533.1|WP_020087477.1|WP_027457891.1|WP_066336621.1|WP_072396215.1|WP_079433304.1|WP_088177840.1|PZU54559.1|TEX44200.1","33","1.0","Geneset_Overlap","COG4993 (Geneset_Overlap_Cd2CK_egg_go_ko) 1MUQX","false","Geneset_Overlap","COG4993 (Geneset_Overlap_Cd2CK_egg_go_ko) 1MUQX"
"4063","Cd2CK_egg_go_ko","WP_013804444.1|WP_096449278.1|RTL34219.1|WP_027456663.1|EXI90846.1|KFB78314.1|OFZ98106.1|WP_099407143.1|PKO26483.1|RIX49058.1|WP_004298446.1|WP_015437569.1|WP_035933059.1|RTL23085.1|RZI44886.1|WP_090319415.1","16","0.9444444444444444","Geneset_Overlap","K02933 (Geneset_Overlap_Cd2CK_egg_go_ko) 2VQ4W","false","Geneset_Overlap","K02933 (Geneset_Overlap_Cd2CK_egg_go_ko) 2VQ4W"
"4064","Cd2CK_egg_go_ko","WP_011397794.1|KFB69440.1|WP_070987526.1|WP_087648738.1|WP_110258092.1|BBG74083.1|WP_092997584.1|TAL86698.1|WP_137098945.1|WP_020564490.1|WP_132542637.1|RUQ40370.1|WP_004301710.1|WP_012203041.1|WP_121428012.1","15","0.600328947368421","Geneset_Overlap","COG1140 (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0008940","false","Geneset_Overlap","COG1140 (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0008940"
"4065","Cd2CK_egg_go_ko","WP_111293907.1|OYZ00001.1|KFB69207.1|WP_078307178.1|WP_076604510.1|WP_076891819.1|PZP39388.1|WP_026770526.1|WP_100138630.1|OUX17918.1|WP_018413323.1|PKO82755.1|WP_067758259.1|KKR79619.1|WP_028957231.1|WP_054281656.1|WP_109453369.1|WP_126831844.1|WP_097087654.1|SFN58997.1|KXK00783.1|WP_056435539.1|WP_122878230.1|AGO28354.1|KML33318.1|WP_006730011.1|WP_094002412.1|OJY95462.1|WP_086919618.1|KLT21213.1|WP_092280200.1|WP_012695740.1|WP_057297243.1|WP_115934849.1|WP_093281025.1|KTC77939.1|WP_108949537.1|WP_056069295.1|WP_048497737.1|PID31983.1|PJI37961.1|WP_108427913.1|GBE29179.1|WP_077239469.1|WP_049411422.1|GAK54310.1|WP_130997957.1|WP_021275036.1|PKN46003.1|AQT42897.1|WP_053281820.1|CTQ57173.1|PZR39253.1|WP_034743456.1|WP_019946176.1|AFV98459.1|PKO26120.1|WP_013621710.1|WP_058531626.1|WP_084205124.1|WP_039131350.1|WP_122890902.1|WP_069444877.1|WP_124799605.1|WP_016533924.1|WP_028770765.1|AAQ62397.1|WP_005879073.1|WP_016453856.1|TAN86363.1|WP_027469922.1|OYW19306.1|WP_008494540.1|OPH17454.1|AIT62738.1|WP_114692163.1|ODU57472.1|TEX49225.1|WP_076091607.1|ALD91789.1|WP_119212345.1|EPR32470.1|VHH18454.1|RKZ91889.1|RZI44858.1|OJU73943.1|WP_053322368.1|WP_116846679.1|WP_005483729.1|WP_076501246.1|WP_126170335.1|WP_013614171.1|CED79243.1|WP_012202327.1|WP_136555888.1|WP_004332390.1|RYY12747.1|PKN73642.1|PTM19938.1|WP_062352460.1|RMG26781.1|KIF34349.1|WP_106825664.1|WP_061498192.1|WP_014235482.1|WP_076912688.1|WP_114959718.1|OGI46044.1|WP_133797155.1|PKO29730.1|WP_121219054.1|WP_043946424.1|KPN72726.1|TDI75867.1|WP_043949301.1|WP_045726418.1|AWW25111.1|PAW66547.1|WP_004343146.1|RTL29324.1|CUR08644.1|TAK66595.1|WP_028485245.1|WP_117380257.1|WP_091940317.1|EGC61563.1|WP_094555909.1|PCJ42754.1|ODS73451.1|WP_132985273.1|TAG83693.1|KFB69210.1|OJX70055.1|WP_006450618.1|WP_004355307.1|WP_027456679.1|TAE17310.1|WP_108360503.1|WP_108780439.1|TET29113.1|WP_093509984.1|WP_135048775.1|WP_106875037.1|WP_107888850.1|EQB64020.1|WP_029312050.1|RYE05967.1|WP_039438947.1|WP_114114452.1|WP_128096253.1|PKM03356.1|WP_105040437.1|WP_087349485.1|WP_100053551.1|WP_019372615.1|WP_106748007.1|WP_115723606.1|EKE18052.1|OYZ55106.1|SP|P75022.1|EFTU_RHIRD|WP_107865110.1|OIP11335.1|PZQ20981.1|WP_014235481.1|KRP10551.1","165","0.7555753791257805","Geneset_Overlap","GO:0005525 (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0006414","false","Geneset_Overlap","GO:0005525 (Geneset_Overlap_Cd2CK_egg_go_ko) GO:0006414"
"4066","Cd2CK_egg_go_ko","PZP29908.1|OJX25964.1|KFB77730.1|WP_069040294.1|WP_129350806.1|RZJ95262.1|WP_124539589.1|ODU88478.1|WP_121459553.1|RZL03004.1|ODS97385.1|PIQ12327.1|WP_049725106.1|WP_062353565.1|WP_124855481.1|WP_106749718.1|WP_079433542.1|ODS68942.1|WP_066879881.1|KFB65965.1","20","0.9347826086956521","Geneset_Overlap","GO:0004654 (Geneset_Overlap_Cd2CK_egg_go_ko) 1MVB9","false","Geneset_Overlap","GO:0004654 (Geneset_Overlap_Cd2CK_egg_go_ko) 1MVB9"
